,ID,campo,lst_v,cod_list,reg,E_Brent,opex_pc,capex_pb,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,25,1,1,0,-1849990.9687,0,0,0,0.0,4310596.3608,0,3191068.3959,0.0,0.0,0.0,0.0,87.35241790443628,87.35241790443628,2044.0,2020.0,23.4883,0,38.6462,0,567865.245,2168895.5088,0,895558.7173,8788.9322,0,0,0,0,0
1,1,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,30,1,1,0,-1849990.9687,0,0,0,0.0,4310596.3608,0,3191068.3959,0.0,0.0,0.0,0.0,87.35241790443628,87.35241790443628,2044.0,2020.0,23.4883,0,38.6462,0,567865.245,2168895.5088,0,895558.7173,8788.9322,0,0,0,0,0
2,2,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,35,1,1,0,-1849990.9687,0,-2127963.3234,-2127963.3234,0.0,4310596.3608,0,3191068.3959,0.0,35.27178613626625,35.27178613626625,0.0,87.35241790443628,87.35241790443628,2044.0,2033.0,23.4883,17.1985,38.6462,95.7094,567865.245,2168895.5088,0,895558.7173,8788.9322,265105.351,2168895.5088,0,331113.3857,25075.8493
3,3,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,40,1,1,0,-1849990.9687,0,-2046850.8541,-2046850.8541,0.0,4310596.3608,0,3191068.3959,0.0,54.349659704293394,54.349659704293394,0.0,87.35241790443628,87.35241790443628,2044.0,2036.0,23.4883,19.2269,38.6462,62.1134,567865.245,2168895.5088,0,895558.7173,8788.9322,390522.0251,2168895.5088,0,531406.5366,18839.8567
4,4,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,1,1,0,-1849990.9687,0,-1956622.5116,-1956622.5116,0.0,4310596.3608,0,3191068.3959,0.0,64.2413125658552,64.2413125658552,0.0,87.35241790443628,87.35241790443628,2044.0,2038.0,23.4883,20.5984,38.6462,52.5494,567865.245,2168895.5088,0,895558.7173,8788.9322,453207.1708,2168895.5088,0,681050.2976,15570.1295
5,5,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,50,1,1,0,-1849990.9687,0,-1849990.9687,-1849990.9687,0.0,4310596.3608,0,3191068.3959,0.0,87.35241790443628,87.35241790443628,0.0,87.35241790443628,87.35241790443628,2044.0,2044.0,23.4883,23.4883,38.6462,38.6462,567865.245,2168895.5088,0,895558.7173,8788.9322,567865.245,2168895.5088,0,895558.7173,8788.9322
6,6,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,55,1,1,0,-1849990.9687,0,-1736110.5201,-1736110.5201,0.0,4310596.3608,0,3191068.3959,0.0,98.63326144590968,98.63326144590968,0.0,87.35241790443628,87.35241790443628,2044.0,2049.0,23.4883,24.82,38.6462,34.2262,567865.245,2168895.5088,0,895558.7173,8788.9322,605413.1736,2168895.5088,0,1043655.3977,5457.2354
7,7,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,60,1,1,0,-1849990.9687,0,-1623720.5969,-1623720.5969,0.0,4310596.3608,0,3191068.3959,0.0,100.93680076874809,100.93680076874809,0.0,87.35241790443628,87.35241790443628,2044.0,2052.0,23.4883,25.1494,38.6462,33.4451,567865.245,2168895.5088,0,895558.7173,8788.9322,611159.1694,2168895.5088,1838.4574,1162272.6406,4100.1017
8,8,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,25,1,1,0,-1709042.6039,0,-2030616.7303,-2030616.7303,0.0,4310596.3608,0,3191068.3959,0.0,12.85159808732316,12.85159808732316,0.0,113.4282506627961,113.4282506627961,2049.0,2029.0,24.82,14.7257,34.2262,267.078,605413.1736,2168895.5088,0,1070723.3139,5457.2354,90896.526,1995051.9126,0,92045.2592,36713.551
9,9,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,30,1,1,0,-1709042.6039,0,-2151193.0071,-2151193.0071,0.0,4310596.3608,0,3191068.3959,0.0,33.11859852036994,33.11859852036994,0.0,113.4282506627961,113.4282506627961,2049.0,2032.0,24.82,16.4615,34.2262,117.2217,605413.1736,2168895.5088,0,1070723.3139,5457.2354,219344.4859,2168895.5088,0,264630.4218,27583.4342
