,ID,campo,reg,opex_pc,capex_pb,BE
0,0,MORICHE,0,1,1,153.169448023156
1,1,MORICHE,1,1,1,138.94589279202037
2,2,MORICHE,0,1,0.9,141.13857789285368
3,3,MORICHE,1,1,0.9,127.56697042295832
4,4,MORICHE,0,1,0.8,129.40312804116422
5,5,MORICHE,1,1,0.8,116.61962573242472
6,6,MORICHE,0,0.9,1,137.20400334182406
7,7,MORICHE,1,0.9,1,123.720553743377
8,8,MORICHE,0,0.9,0.9,127.31300014203217
9,9,MORICHE,1,0.9,0.9,114.68958606993756
10,10,MORICHE,0,0.9,0.8,117.47161375178828
11,11,MORICHE,1,0.9,0.8,105.89179599252093
12,12,MORICHE,0,0.8,1,139.03365402878222
13,13,MORICHE,1,0.8,1,115.33436197294687
14,14,MORICHE,0,0.8,0.9,128.2852742177007
15,15,MORICHE,1,0.8,0.9,107.33874762819487
16,16,MORICHE,0,0.8,0.8,117.68831528360144
17,17,MORICHE,1,0.8,0.8,99.60867624899113
18,18,ABARCO,0,1,1,83.66532129826129
19,19,ABARCO,1,1,1,83.66532129826129
20,20,ABARCO,0,1,0.9,78.59902219125503
21,21,ABARCO,1,1,0.9,78.59902219125503
22,22,ABARCO,0,1,0.8,73.28896920876873
23,23,ABARCO,1,1,0.8,73.28896920876873
24,24,ABARCO,0,0.9,1,83.10600893851449
25,25,ABARCO,1,0.9,1,83.10600893851449
26,26,ABARCO,0,0.9,0.9,77.9074684635041
27,27,ABARCO,1,0.9,0.9,77.9074684635041
28,28,ABARCO,0,0.9,0.8,72.43486432980396
29,29,ABARCO,1,0.9,0.8,72.43486432980396
30,30,ABARCO,0,0.8,1,82.4991268974818
31,31,ABARCO,1,0.8,1,82.4991268974818
32,32,ABARCO,0,0.8,0.9,77.15357889798129
33,33,ABARCO,1,0.8,0.9,77.15357889798129
34,34,ABARCO,0,0.8,0.8,71.5357097076642
35,35,ABARCO,1,0.8,0.8,71.5357097076642
36,36,GIRASOL,0,1,1,77.53336758477066
37,37,GIRASOL,1,1,1,71.39318717791373
38,38,GIRASOL,0,1,0.9,72.75244417073803
39,39,GIRASOL,1,1,0.9,66.87485857343182
40,40,GIRASOL,0,1,0.8,67.78895197055058
41,41,GIRASOL,1,1,0.8,62.233868213486026
42,42,GIRASOL,0,0.9,1,76.80329574033996
43,43,GIRASOL,1,0.9,1,70.60220523616651
44,44,GIRASOL,0,0.9,0.9,71.90313341954777
45,45,GIRASOL,1,0.9,0.9,66.01274159262739
46,46,GIRASOL,0,0.9,0.8,66.84639436662701
47,47,GIRASOL,1,0.9,0.8,61.29011646199743
48,48,GIRASOL,0,0.8,1,76.017609024274
49,49,GIRASOL,1,0.8,1,69.78780791690623
50,50,GIRASOL,0,0.8,0.9,71.02398432492684
51,51,GIRASOL,1,0.8,0.9,65.11804006147912
52,52,GIRASOL,0,0.8,0.8,65.87787666899773
53,53,GIRASOL,1,0.8,0.8,60.2982894252189
54,54,NARE UNDER RIVER,0,1,1,159.7210181453106
55,55,NARE UNDER RIVER,1,1,1,144.57458511956003
56,56,NARE UNDER RIVER,0,1,0.9,148.90538134986028
57,57,NARE UNDER RIVER,1,1,0.9,134.6216901135225
58,58,NARE UNDER RIVER,0,1,0.8,137.91168574725853
59,59,NARE UNDER RIVER,1,1,0.8,124.5503715225056
60,60,NARE UNDER RIVER,0,0.9,1,157.200914620938
61,61,NARE UNDER RIVER,1,0.9,1,140.13648450873052
62,62,NARE UNDER RIVER,0,0.9,0.9,146.16663565560822
63,63,NARE UNDER RIVER,1,0.9,0.9,130.1407414929843
64,64,NARE UNDER RIVER,0,0.9,0.8,134.98120943111124
65,65,NARE UNDER RIVER,1,0.9,0.8,120.07958757265723
66,66,NARE UNDER RIVER,0,0.8,1,152.09807152920553
67,67,NARE UNDER RIVER,1,0.8,1,137.89876472939855
68,68,NARE UNDER RIVER,0,0.8,0.9,140.97502904564237
69,69,NARE UNDER RIVER,1,0.8,0.9,127.79713185322697
70,70,NARE UNDER RIVER,0,0.8,0.8,129.77064099960998
71,71,NARE UNDER RIVER,1,0.8,0.8,118.19980939108393
72,72,NARE SUR,0,1,1,184.83651551150317
73,73,NARE SUR,1,1,1,138.9801789110037
74,74,NARE SUR,0,1,0.9,169.55716625777026
75,75,NARE SUR,1,1,0.9,127.72665902861597
76,76,NARE SUR,0,1,0.8,154.27781724674367
77,77,NARE SUR,1,1,0.8,116.4687124951794
78,78,NARE SUR,0,0.9,1,182.515016065785
79,79,NARE SUR,1,0.9,1,137.28759232683154
80,80,NARE SUR,0,0.9,0.9,167.2356670547583
81,81,NARE SUR,1,0.9,0.9,126.02961159133612
82,82,NARE SUR,0,0.9,0.8,151.95631804373173
83,83,NARE SUR,1,0.9,0.8,114.76639271568934
84,84,NARE SUR,0,0.8,1,180.193516862773
85,85,NARE SUR,1,0.8,1,135.6130202138658
86,86,NARE SUR,0,0.8,0.9,164.91416785174647
87,87,NARE SUR,1,0.8,0.9,124.35417081993938
88,88,NARE SUR,0,0.8,0.8,149.63805947703838
89,89,NARE SUR,1,0.8,0.8,113.08988865698443
