,ID,campo,lst_v,cod_list,reg,E_Brent,opex_pc,capex_pb,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p,Payout
0,0,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,25,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1849990.9687,87352.41790443628,50.0
1,1,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,30,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1849990.9687,87352.41790443628,50.0
2,2,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,35,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1849990.9687,87352.41790443628,50.0
3,3,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,40,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1849990.9687,87352.41790443628,50.0
4,4,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,45,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1849990.9687,87352.41790443628,50.0
5,5,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,50,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1849990.9687,87352.41790443628,50.0
6,6,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,55,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1849990.9687,87352.41790443628,50.0
7,7,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,60,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1849990.9687,87352.41790443628,50.0
8,8,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,25,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1709042.6039,113428.2506627961,50.0
9,9,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,30,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1709042.6039,113428.2506627961,50.0
10,10,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,35,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1709042.6039,113428.2506627961,50.0
11,11,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,40,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1709042.6039,113428.2506627961,50.0
12,12,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,45,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1709042.6039,113428.2506627961,50.0
13,13,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,50,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1709042.6039,113428.2506627961,50.0
14,14,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,55,1,1,74302.1502,0,545623.1507,2558539.9551,11844.5804,758.5595,3191068.3959,2139956.2967,1929512.1164,90793.948,4310596.3608,-1709042.6039,113428.2506627961,50.0
